text,category,priority
" मच्छर बहुत हो गए हैं Faizabad Chowk में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
potholes needs repair in Tehsil Bikapur before monsoon,Roads (PWD/NHAI),Medium
footpath tiles broken in some places at Bareilly Cantt,Roads (PWD/NHAI),Low
internet nahi chal raha Block Malihabad panchayat bhavan me,Rural Development (Panchayati Raj),Low
sadak par bada gadda hai Sitapur One market ke paas,Roads (PWD/NHAI),High
kachra uthane vali gaadi nahi aayi Faizabad Chowk mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"passport verification pending at Gomti Nagar, Lucknow thana for 2 weeks",Police (Home Dept),Low
traffic police asking for bribe at Gonda City crossing,Police (Home Dept),Medium
"clean water nahi aa raha hai Gram Panchayat Bojhi mein, paani bohot ganda hai",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"live wire fell on the street in Meerut City, huge danger to kids",Electricity (UPPCL),High
"live wire fell on the street in Mau Tehsil, huge danger to kids",Electricity (UPPCL),High
"sewage water mixing with drinking water in Village Rampur, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
mobile phone snatched while walking in Gram Kachhona,Police (Home Dept),Medium
street light pole looking tilted in Post Kakori,Electricity (UPPCL),Low
mnrega ka paisa nahi mila Gram Panchayat Bojhi mein,Rural Development (Panchayati Raj),High
"road caved in due to heavy rain in Meerut City, traffic blocked",Roads (PWD/NHAI),High
request to start sewing center for women in Village Basrehar,Rural Development (Panchayati Raj),Low
"sewage water mixing with drinking water in Village Basrehar, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"bijli ka bill bahut jyada aaya hai Civil Lines, Kanpur mein",Electricity (UPPCL),Medium
road construction incomplete in Hardoi City,Roads (PWD/NHAI),Medium
"open manhole on main road in Noida Sector 18, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
need a sign board direction for Hardoi City village,Roads (PWD/NHAI),Low
mobile phone snatched while walking in Hardoi City,Police (Home Dept),Medium
"flood water entered village houses in Tehsil Bikapur, need rescue",Rural Development (Panchayati Raj),High
"open manhole on main road in Village Chhata, heavy accident risk",Sanitation & Water (Jal Nigam/Nagar Nigam),High
" मच्छर बहुत हो गए हैं Village Basrehar में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
character certificate chahiye Barabanki Town police station se,Police (Home Dept),Low
character certificate chahiye Prayagraj City police station se,Police (Home Dept),Low
need a sign board direction for Basti village,Roads (PWD/NHAI),Low
ganda paani nalo se aa raha hai Unnao City area me,Sanitation & Water (Jal Nigam/Nagar Nigam),High
dogs roaming inside the ward at Gram Kachhona chc,Health (Medical),Medium
footpath tiles broken in some places at Post Kakori,Roads (PWD/NHAI),Low
library books request for Tehsil Bikapur village school,Rural Development (Panchayati Raj),Low
general query about filing fir online for Orai resident,Police (Home Dept),Low
character certificate chahiye Agra Fort area police station se,Police (Home Dept),Low
dogs roaming inside the ward at Prayagraj City chc,Health (Medical),Medium
water pipeline leakage wasting water in Basti,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"chori ho gayi hai Basti mein, police bhejo",Police (Home Dept),High
birth certificate spelling correction request at Unnao City,Health (Medical),Low
"chori ho gayi hai Meerut City mein, police bhejo",Police (Home Dept),High
kachra uthane vali gaadi nahi aayi Meerut City mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
need a sign board direction for Noida Sector 18 village,Roads (PWD/NHAI),Low
loudspeaker shor kar raha hai Village Rampur mein raat ko,Police (Home Dept),Medium
road construction incomplete in Village Basrehar,Roads (PWD/NHAI),Medium
x-ray machine kharab hai Tehsil Bikapur mein,Health (Medical),Medium
footpath tiles broken in some places at Sitapur One,Roads (PWD/NHAI),Low
sadak par bada gadda hai Tehsil Bikapur market ke paas,Roads (PWD/NHAI),High
pradhan embezzled all money for road construction in Village Chhata,Rural Development (Panchayati Raj),High
phone chori ho gaya Village Basrehar market me,Police (Home Dept),Medium
passport verification pending at Village Chhata thana for 2 weeks,Police (Home Dept),Low
huge crater in middle of road at Village Rampur causing accidents daily,Roads (PWD/NHAI),High
phone chori ho gaya Village Chhata market me,Police (Home Dept),Medium
transformer caught fire in Unnao City and oil is leaking,Electricity (UPPCL),High
" मच्छर बहुत हो गए हैं Sigra, Varanasi में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
garbage truck not coming to Tehsil Bikapur for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
x-ray machine kharab hai Barabanki Town mein,Health (Medical),Medium
street light pole looking tilted in Bareilly Cantt,Electricity (UPPCL),Low
"doctor late aate hain Sigra, Varanasi hospital mein",Health (Medical),Medium
talaab par kabza ho raha hai Gram Kachhona gaon mein,Rural Development (Panchayati Raj),Medium
oxygen cylinder available nahi hai Gram Kachhona hospital me,Health (Medical),High
"Hazratganj, Lucknow me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
public toilet tap is dripping in Meerut City,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
park needs cleaning in Post Kakori residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
street light pole looking tilted in Post Kakori,Electricity (UPPCL),Low
passport verification pending at Ghaziabad thana for 2 weeks,Police (Home Dept),Low
"bridge railing toot gayi hai Sigra, Varanasi mein",Roads (PWD/NHAI),High
phone chori ho gaya Hardoi City market me,Police (Home Dept),Medium
talaab par kabza ho raha hai Tehsil Bikapur gaon mein,Rural Development (Panchayati Raj),Medium
request to start sewing center for women in Gram Panchayat Bojhi,Rural Development (Panchayati Raj),Low
public toilet tap is dripping in Raebareli Market,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"flood water entered village houses in Gram Panchayat Bojhi, need rescue",Rural Development (Panchayati Raj),High
road construction incomplete in Agra Fort area,Roads (PWD/NHAI),Medium
character certificate chahiye Gonda City police station se,Police (Home Dept),Low
"road construction incomplete in Sigra, Varanasi",Roads (PWD/NHAI),Medium
street light pole looking tilted in Unnao City,Electricity (UPPCL),Low
garbage truck not coming to Gonda City for last 3 days,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"doctor refused to treat critical patient in Civil Lines, Kanpur phc",Health (Medical),High
doctor late aate hain Unnao City hospital mein,Health (Medical),Medium
passport verification pending at Bareilly Cantt thana for 2 weeks,Police (Home Dept),Low
traffic police asking for bribe at Village Rampur crossing,Police (Home Dept),Medium
"bijli ka bill bahut jyada aaya hai Civil Lines, Kanpur mein",Electricity (UPPCL),Medium
sadak toot gayi hai Etawah Main mein,Roads (PWD/NHAI),Medium
park needs cleaning in Village Basrehar residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
solar panel subsidy ki jankari chahiye Ghaziabad ke liye,Electricity (UPPCL),Low
encroachment by shopkeepers on road in Post Kakori,Roads (PWD/NHAI),Medium
huge crater in middle of road at Barabanki Town causing accidents daily,Roads (PWD/NHAI),High
library books request for Tehsil Bikapur village school,Rural Development (Panchayati Raj),Low
" मच्छर बहुत हो गए हैं Agra Fort area में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"Hardoi City me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
road construction incomplete in Raebareli Market,Roads (PWD/NHAI),Medium
"Civil Lines, Kanpur me transformer jal gaya hai, turant change karein",Electricity (UPPCL),High
transformer caught fire in Gram Panchayat Bojhi and oil is leaking,Electricity (UPPCL),High
"ambulance nahi aa rahi Gram Panchayat Bojhi mein, patient serious hai",Health (Medical),High
"primary school roof is leaking in Tehsil Bikapur, dangerous for kids",Rural Development (Panchayati Raj),Medium
footpath tiles broken in some places at Agra Fort area,Roads (PWD/NHAI),Low
public toilet tap is dripping in Unnao City,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
talaab par kabza ho raha hai Tehsil Bikapur gaon mein,Rural Development (Panchayati Raj),Medium
"chori ho gayi hai Barabanki Town mein, police bhejo",Police (Home Dept),High
birth certificate spelling correction request at Gram Kachhona,Health (Medical),Low
"solar panel subsidy ki jankari chahiye Civil Lines, Kanpur ke liye",Electricity (UPPCL),Low
" मच्छर बहुत हो गए हैं Sitapur One में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
street light pole looking tilted in Tehsil Bikapur,Electricity (UPPCL),Low
"sadak toot gayi hai Hazratganj, Lucknow mein",Roads (PWD/NHAI),Medium
general query about filing fir online for Noida Sector 18 resident,Police (Home Dept),Low
x-ray machine kharab hai Village Rampur mein,Health (Medical),Medium
library books request for Remote area of Sonbhadra village school,Rural Development (Panchayati Raj),Low
loudspeaker shor kar raha hai Faizabad Chowk mein raat ko,Police (Home Dept),Medium
"ambulance nahi aa rahi Unnao City mein, patient serious hai",Health (Medical),High
passport verification pending at Gonda City thana for 2 weeks,Police (Home Dept),Low
long waiting line for opd registration in Meerut City,Health (Medical),Low
"ambulance nahi aa rahi Basti mein, patient serious hai",Health (Medical),High
kachra uthane vali gaadi nahi aayi Village Rampur mein,Sanitation & Water (Jal Nigam/Nagar Nigam),Medium
"huge crater in middle of road at Sigra, Varanasi causing accidents daily",Roads (PWD/NHAI),High
park needs cleaning in Etawah Main residential area,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"road caved in due to heavy rain in Tehsil Bikapur, traffic blocked",Roads (PWD/NHAI),High
passport verification pending at Orai thana for 2 weeks,Police (Home Dept),Low
loudspeaker shor kar raha hai Prayagraj City mein raat ko,Police (Home Dept),Medium
footpath tiles broken in some places at Barabanki Town,Roads (PWD/NHAI),Low
transformer caught fire in Ghaziabad and oil is leaking,Electricity (UPPCL),High
birth certificate spelling correction request at Village Rampur,Health (Medical),Low
doctor refused to treat critical patient in Noida Sector 18 phc,Health (Medical),High
bijli ka bill bahut jyada aaya hai Block Malihabad mein,Electricity (UPPCL),Medium
frequent power cuts in Faizabad Chowk is affecting exam preparation,Electricity (UPPCL),Medium
stray cattle destroying crops in Village Chhata farms,Rural Development (Panchayati Raj),Medium
pradhan embezzled all money for road construction in Post Kakori,Rural Development (Panchayati Raj),High
"sewage water mixing with drinking water in Mau Tehsil, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
"long waiting line for opd registration in Sigra, Varanasi",Health (Medical),Low
meter reading galat hai Village Chhata wale ghar ki,Electricity (UPPCL),Medium
"flood water entered village houses in Village Rampur, need rescue",Rural Development (Panchayati Raj),High
pradhan embezzled all money for road construction in Mau Tehsil,Rural Development (Panchayati Raj),High
road construction incomplete in Village Basrehar,Roads (PWD/NHAI),Medium
public toilet tap is dripping in Sitapur One,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
pradhan ne paisa kha liya Gram Kachhona road ka,Rural Development (Panchayati Raj),High
"flood water entered village houses in Mau Tehsil, need rescue",Rural Development (Panchayati Raj),High
"live wire fell on the street in Faizabad Chowk, huge danger to kids",Electricity (UPPCL),High
"transformer caught fire in Hazratganj, Lucknow and oil is leaking",Electricity (UPPCL),High
stray cattle destroying crops in Village Basrehar farms,Rural Development (Panchayati Raj),Medium
public toilet tap is dripping in Post Kakori,Sanitation & Water (Jal Nigam/Nagar Nigam),Low
" मच्छर बहुत हो गए हैं Bareilly Cantt में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
traffic police asking for bribe at Village Rampur crossing,Police (Home Dept),Medium
" मच्छर बहुत हो गए हैं Etawah Main में, फॉगिंग करवाओ",Sanitation & Water (Jal Nigam/Nagar Nigam),Low
"low voltage problem in Gomti Nagar, Lucknow during evening hours",Electricity (UPPCL),Medium
"live wire fell on the street in Meerut City, huge danger to kids",Electricity (UPPCL),High
"character certificate chahiye Sigra, Varanasi police station se",Police (Home Dept),Low
vaccine kab lagega Raebareli Market center par?,Health (Medical),Low
doctor late aate hain Gram Kachhona hospital mein,Health (Medical),Medium
character certificate chahiye Village Chhata police station se,Police (Home Dept),Low
need a sign board direction for Orai village,Roads (PWD/NHAI),Low
street light pole looking tilted in Remote area of Sonbhadra,Electricity (UPPCL),Low
phone chori ho gaya Village Rampur market me,Police (Home Dept),Medium
solar panel subsidy ki jankari chahiye Gonda City ke liye,Electricity (UPPCL),Low
pradhan ne paisa kha liya Gram Panchayat Bojhi road ka,Rural Development (Panchayati Raj),High
x-ray machine kharab hai Gram Panchayat Bojhi mein,Health (Medical),Medium
child kidnapped from Meerut City school area,Police (Home Dept),High
"sewage water mixing with drinking water in Tehsil Bikapur, kids falling sick",Sanitation & Water (Jal Nigam/Nagar Nigam),High
